Product Name,Price (INR),Rating,Seller Name
"Ambrane 20000mAh Rugged Compact Powerbank, Slim & Lightweight with 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices (Force 20k, Black)","1,899.",3.9,Cocoblu Retail
"Duracell Power Bank 10000 mAh, Portable Charger, USB C/Micro USB Input, USB A/USB C Output, Fast Charge Technology, 22.5W Power Delivery for Smartphones, Tablets, Headphones and USB-Powered Devices","1,999.",4.0,Cocoblu Retail
"pTron Dynamo Power 20000mAh 22.5W Super Fast Charging Power Bank with Quick Charge & 20W Power Delivery, Built-in Charging Cables, 4 Outputs, Type-C Input/Output Port & LED Battery Display (Black)","1,499.",4.3,Cocoblu Retail
N/A,"1,399",4.2,Cocoblu Retail
"pTron Newly Launched Dynamo Vortex 10000mAh 22.5W Fast Charging Power Bank, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 2 Outputs, 1 Input & Multiple Layers of Protection (Blue)",748.,4.0,Cocoblu Retail
"pTron Dynamo Surge 20000mAh 22.5W Fast Charging Power Bank, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 3 Outputs, 1 Input & Multiple Layers of Protection (Blue)","1,399.",4.0,Cocoblu Retail
"pTron Dynamo Surge 20000mAh 22.5W Fast Charging Power Bank, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 3 Outputs, 1 Input & Multiple Layers of Protection (Black)","1,258.",4.1,Cocoblu Retail
10000mAh Magnetic Wireless Power Bank Sylaris Magpro for iPhone 16/15/14/13/12 Series Type C Fast Charging Lithium Polymer Battery (Input & Output) 15w Wireless & Mag-Safe - White,"1,799.",4.3,EllerSante-Direct
"pTron Dynamo Power 20000mAh 22.5W Super Fast Charging Power Bank with Quick Charge & 20W Power Delivery, Built-in Charging Cables, 4 Outputs, Type-C Input/Output Port & LED Battery Display (Black)","1,499.",4.3,Cocoblu Retail
"pTron Dynamo Ultra 20000mAh Power Bank, 22.5W Superfast Charging, Compact Size, Type-C/PD 20W Fast Charging, Supports VOOC/Wrap/Dash/Quick Charge Protocols, 3 Output Ports, Type-C Input/Output (Black)","1,599.",4.3,Cocoblu Retail
"boAt Energyshroom PB330 MagnaCharge 10000 mAh Magnetic Wireless Power Bank w/ 15W Wireless Charging, Metal Stand,Magnacharge Ring for iPhone and Android Phones w/Wireless Charge(Black)","2,009.",4.0,Cocoblu Retail
N/A,808,4.0,Cocoblu Retail
"Amazon Basics 20000 mAh Power Bank | 22.5W Fast Charging | Dual Output & Input | Charge 3 Devices Simultaneously | for Smartphones, TWS Earbuds, Speakers, Tablets (Black)",999.,3.6,Clicktech Retail Private Ltd
Portronics Luxcell Wireless Mini 10k 10000mAh 15W Magnetic Wireless Fast Charging Nano Power Bank with 22.5 Wired Output Compatible with iPhone 12 & Above & Other QI Enabled Devices(Yellow),"1,398.",3.9,Cocoblu Retail
N/A,"1,529",4.3,Clicktech Retail Private Ltd
"Anker Power Bank 20000 mAh with Built-in USB C Cable, 22.5W Fast Charging with 1 USB-C, 1 USB-A, for iPhones, iPads, Macbooks, Samsung Smartphones and Other Android Devices - Black","4,999.",4.4,AnkerDirect INDIA
N/A,808,3.9,Cocoblu Retail
"pTron Dynamo Arc 10000mAh 22.5W USB Fast Charging Nano Magnetic Power Bank, 15W Magnetic Wireless Charging, 20W PD/Type C Fast Charging, 3 Outputs/1 Input & Multiple Layers of Protection (Black)","1,098.",3.5,Cocoblu Retail
N/A,"1,799",4.3,EllerSante-Direct
N/A,"1,299",3.9,Cocoblu Retail
"Portronics Luxcell Bind Mini 10k 10000mAh Nano Powerbank with 22.5W Fast Charging, in-Built Type C PD(Input & Output) /8 Pin Cable, LED Indicator, USB-A Mach Output, Compatible with Smartphones","1,108.",4.1,Cocoblu Retail
N/A,"1,299",3.9,Cocoblu Retail
"Ambrane 10000mAh Magsafe Fast Wireless Charging Power Bank, Strong Metal Mobile Stand, 22.5W Wired + 15W Wireless for iPhone 12 & Above, Android & Qi Enabled Devices (Aerosync PB 11, Purple)","1,699.",3.8,Cocoblu Retail
URBN 20000 mAh Premium Nano Power Bank | 22.5W Super Fast Charging | Smallest Power Bank | Dual Type C Power Delivery (PD) Output + 1 USB Output for Quick Charge | Two-Way Fast Charge (Camo),"2,499.",4.2,Cocoblu Retail
N/A,"1,998",4.0,Cocoblu Retail
N/A,"1,299",3.9,Cocoblu Retail
N/A,499,3.6,Cocoblu Retail
"ZEBRONICS MB10000S6 Power Bank, 10000 mAh, 12W, 5 x Outputs - Dual USB A | Type C | Micro USB | Lightning, Built in I/O Cables, Percentage Display, Carry Loop, Made in India (Black)",649.,3.0,Cocoblu Retail
N/A,"3,499",4.2,Cocoblu Retail
N/A,999,3.9,Cocoblu Retail
N/A,899,4.0,Cocoblu Retail
"ElevOne by Ambrane 10000mAh Slim & Compact Powerbank, 12W Fast Charging, Dual USB Output, LED Indicators with Transparent Design for iPhones, Android, Smart Watches & Other Device (Rapid X, Purple)",578.,3.8,Cocoblu Retail
Portronics Luxcell Wireless Mini 10k 10000mAh 15W Magnetic Wireless Fast Charging Nano Power Bank with 22.5 Wired Output Compatible with iPhone 12 & Above & Other QI Enabled Devices(Black),"1,349.",3.9,Cocoblu Retail
"ElevOne by Ambrane 10000mAh Slim & Compact Powerbank, 12W Fast Charging, Dual USB Output, LED Indicators with Transparent Design for iPhones, Android, Smart Watches & Other Device (Rapid X, Black)",578.,3.8,Cocoblu Retail
N/A,"1,899",3.9,Cocoblu Retail
"HEYMIX 100W Laptop Power Bank - 20000mAh Laptop Powerbank Portable Charger, 65W/45W/30W/20W USB C Battery PowerBank with PD Fast Charging Compatible with MacBook MacAir,iPad,iPhone 15/14/13, S23+/S22+","4,990.",4.3,Heymix Tech
N/A,"1,699",3.9,Cocoblu Retail
N/A,"1,699",4.2,Cocoblu Retail
N/A,"1,899",3.9,Cocoblu Retail
Amazon Basics 20000mAh 22.5W Fast Charging Power Bank with Cable | Triple Output Ports |Dual Input Ports | Lithium Polymer Power Bank | Compact Metal Body (Black),"1,199.",3.9,Clicktech Retail Private Ltd
Amazon Basics 10000 mAh 22.5W Ultra Fast Charging Power Bank | Type C Power Delivery (Input& Output) | Quick Charge | Two-Way Fast Charging | Made in India (Grey),899.,4.3,Clicktech Retail Private Ltd
N/A,"2,789",4.0,Spigen India
LAPCARE Smart Tank 10000Mah Fast Charging Power Bank | Dual USB Port | Led Indicator | Light Weight | Multi Protocol Support | Multi Circuit Protection | Compact & Slim Design | Made in India,499.,3.8,Cocoblu Retail
"Kratos Legend Plus Power Bank 20000mah with Dual USB Output, 12W Fast Charging Power Bank with Slim Design and Compact Size, Type C and Micro USB Inputs, Made in India, BIS Certified",799.,4.2,Cocoblu Retail
"boAt Energyshroom PB300 Powerbank with 10000mAh Battery, 22.5w Fast Charging, 12-Layer Smart IC Protection, LED Indicators and Aluminum Alloy Casing(Burgundy)","1,198.",4.0,Cocoblu Retail
N/A,"2,599",3.7,Cocoblu Retail
N/A,"1,308",4.0,Cocoblu Retail
N/A,"1,990",4.1,Cocoblu Retail
N/A,"1,299",3.5,Cocoblu Retail
"Spigen ArcPack 10000mAh Power Bank | PD 3.0 Fast Carging | 22.5W Max Output | 2 Type-C Ports,1 USB-A Port- (ABS + PC | Black)","1,529.",3.9,Spigen India
"Duracell Power Bank 10000 mAh, Portable Charger, USB C/Micro USB Input, USB A/USB C Output, Fast Charge Technology, 22.5W Power Delivery for Smartphones, Tablets, Headphones and USB-Powered Devices","1,999.",4.0,Cocoblu Retail
"Anker Power Bank, 20,000mAh with Built-in USB-C Cable, 87W Max Fast Charging (PowerCore 20K for Laptop) Lenovo, HP, Dell, Microsoft, MacBook, iPad, iPhone, Apple Watches, Samsung and More - Black","5,499.",4.5,AnkerDirect INDIA
"Portronics Power Shutter 10000mAh 15W Magnetic Wireless Fast Charging Powerbank with in-Built Type C & 8 Pin Cable, 22.5W Type C PD Output, Type C Bidirectional Port, LED Display (Black)","2,299.",3.8,Portronics Digital Pvt Ltd
Amazon Basics 20000 mAh Power Bank | Fast Charging | Dual Output USB-A Ports | Dual Input (Black),919.,3.6,Clicktech Retail Private Ltd
LAPCARE Bolt Pro 20000Mah Transparent Power Bank | 22watt Type-C PD Fast Charging | Dual USB QC Port | Led Display | Multi Circuit Protection | Made in India,"1,249.",4.1,Cocoblu Retail
"Ambrane MagSafe Wireless 10000mAh Fast Charging Power Bank, Premium Metallic Body, Trong Magnet, Input 20W 22W Output Wireless Output 15W for iPhone 12&Above, Android & Other Qi Enabled Devices,Grey","1,999.",4.0,Cocoblu Retail
N/A,"1,999",4.0,Cocoblu Retail
N/A,649,3.0,Cocoblu Retail
"Ambrane 85W Fast Charging Powerbank for MacBook, Type C Laptop & Mobile Charging, 20,000mAh Battery, Triple Output, Power Delivery & Quick Charge (Powerlit Ultra lite, Black)","3,999.",4.1,Cocoblu Retail
"Lifelong ZenCharge 10000 mAh 22.5 W Compact Pocket Size Power Bank with 6 Input/Output Port (Peach, Lithium Polymer, Fast Charging, Quick Charge 3.0 for Mobile, Earbuds, Speaker, Tablet)","1,208.",4.3,Cocoblu Retail
N/A,"1,599",4.3,Cocoblu Retail
"Portronics Power Pebble 5000mAh 20W Fast Charging Nano Powerbank, in-Built Foldable Type C Input/Output Pin, Type C PD Output, LED Battery Indicator, Compatible with Type C Smartphone,iPhone(Black)",949.,3.4,Cocoblu Retail
